project_id,location_type,terrain,climate,soil_type,construction_season,road_length_km,road_width_m,num_workers,dist_supplier_km,num_bridges,num_culverts,total_cost_KES_M
KE-RD-001,Urban,Flat,Arid,Clay,Dry,11.55,6.0,376,447.0,8,2,1107.753
KE-RD-002,Rural,Flat,Arid,Loam,Dry,25.52,6.0,317,127.3,8,13,2097.089
KE-RD-003,Urban,Hilly,Arid,Loam,Rainy,17.34,7.0,140,574.8,5,3,1346.615
KE-RD-004,Rural,Hilly,Highland,Clay,Dry,36.62,14.0,93,584.1,6,2,3850.26
KE-RD-005,Urban,Hilly,Semi-Arid,Sandy,Dry,33.23,8.0,70,514.6,1,12,1576.805
KE-RD-006,Urban,Hilly,Semi-Arid,Clay,Rainy,10.87,8.0,389,562.6,1,19,745.42
KE-RD-007,Urban,Rolling,Semi-Arid,Rocky,Rainy,13.86,14.0,142,413.9,0,7,1065.97
KE-RD-008,Peri-Urban,Mountainous,Highland,Sandy,Dry,45.7,14.0,397,195.7,7,12,6208.257
KE-RD-009,Urban,Mountainous,Semi-Arid,Clay,Dry,12.71,14.0,305,165.0,6,18,1642.837
KE-RD-010,Rural,Rolling,Humid,Sandy,Dry,43.12,7.0,351,104.4,6,19,3081.711
KE-RD-011,Peri-Urban,Mountainous,Highland,Sandy,Dry,34.24,14.0,166,463.5,5,3,3629.261
KE-RD-012,Rural,Mountainous,Arid,Clay,Dry,25.63,6.0,350,186.1,8,19,2462.644
KE-RD-013,Peri-Urban,Rolling,Arid,Clay,Rainy,1.46,8.0,187,151.3,3,18,99.998
KE-RD-014,Rural,Mountainous,Arid,Loam,Dry,33.16,14.0,114,166.4,6,6,3530.241
KE-RD-015,Urban,Rolling,Highland,Rocky,Rainy,22.19,14.0,261,81.4,3,2,2222.508
KE-RD-016,Urban,Rolling,Semi-Arid,Sandy,Dry,35.54,6.0,147,49.8,0,10,783.22
KE-RD-017,Rural,Hilly,Humid,Loam,Dry,36.31,14.0,325,288.9,7,13,3694.981
KE-RD-018,Rural,Mountainous,Highland,Rocky,Rainy,23.62,6.0,374,395.5,1,1,1208.055
KE-RD-019,Peri-Urban,Flat,Semi-Arid,Loam,Dry,27.05,7.0,246,118.3,7,7,2234.213
KE-RD-020,Rural,Mountainous,Arid,Sandy,Dry,48.47,7.0,115,249.8,7,6,4422.241
KE-RD-021,Rural,Rolling,Humid,Sandy,Rainy,13.63,10.0,176,259.6,8,15,1319.937
KE-RD-022,Peri-Urban,Rolling,Arid,Sandy,Rainy,3.33,14.0,274,306.7,8,5,361.405
KE-RD-023,Urban,Flat,Semi-Arid,Sandy,Dry,33.92,7.0,236,80.7,3,18,1812.638
KE-RD-024,Urban,Flat,Humid,Clay,Rainy,10.61,8.0,152,166.7,2,20,606.573
KE-RD-025,Peri-Urban,Flat,Arid,Rocky,Dry,4.13,7.0,289,166.5,5,2,293.427
KE-RD-026,Peri-Urban,Hilly,Semi-Arid,Rocky,Rainy,30.78,14.0,34,404.0,8,9,4507.085
KE-RD-027,Rural,Rolling,Highland,Sandy,Dry,37.25,7.0,169,176.2,3,10,1737.092
KE-RD-028,Urban,Hilly,Humid,Clay,Dry,5.07,10.0,171,36.0,5,4,461.204
