rainfall_mm,maize_yield_kg_per_ha
574.5,1249.9
1150.7,2332.0
932.0,1930.5
798.7,1562.0
356.0,976.4
356.0,972.1
258.1,765.2
1066.2,2191.0
801.1,1572.2
908.1,1884.1
220.6,655.9
1169.9,2309.6
1032.4,2139.0
412.3,1090.7
381.8,1213.6
383.4,1011.1
504.2,1238.5
724.8,1595.6
631.9,1207.2
491.2,1181.0
811.9,1768.6
339.5,1206.7
492.1,1162.8
566.4,1355.6
656.1,1476.8
985.2,1933.1
399.7,1156.6
714.2,1675.9
792.4,1821.3
246.5,634.5
807.5,1921.9
370.5,798.7
265.1,847.5
1148.9,2630.8
1165.6,2279.3
1008.4,2047.2
504.6,1220.3
297.7,775.4
884.2,1705.5
640.2,1460.5
322.0,752.2
695.2,1608.1
234.4,611.6
1109.3,2482.8
458.8,1031.8
862.5,1813.9
511.7,1318.7
720.1,1448.4
746.7,1671.4
384.9,1149.6
1169.6,2212.4
975.1,2077.4
1139.5,2382.3
1094.8,2364.5
797.9,1587.8
1121.9,2160.9
288.5,881.9
396.0,1048.4
245.2,771.5
525.3,1287.2
588.7,1278.0
471.3,1176.3
1028.7,2186.9
556.8,1216.4
480.9,1389.6
742.7,1693.7
340.9,770.7
1002.2,2182.7
274.6,677.2
1186.9,2530.8
972.2,2189.1
398.7,919.2
205.5,785.5
1015.5,2177.4
906.9,2031.0
929.0,2199.8
971.3,2018.8
274.0,702.8
558.5,1198.5
315.9,770.7
1063.1,2204.3
823.3,1822.9
530.9,1288.8
263.6,873.7
511.0,1221.3
525.2,1419.8
929.6,1941.5
837.6,2134.0
1087.2,2332.1
672.2,1407.1
319.6,746.8
913.2,2001.7
960.8,2002.6
761.3,1756.0
971.0,2104.5
693.8,1540.1
722.7,1499.3
627.5,1247.8
225.4,652.2
307.9,957.0
231.4,742.3
836.4,1656.1
514.4,1246.6
708.6,1621.7
1107.6,2187.6
449.3,1127.2
610.4,1405.7
955.6,1882.8
428.8,1114.8
277.0,865.9
489.8,1311.5
361.2,1076.7
1129.7,2168.1
1008.1,2002.1
833.4,1861.9
1071.5,2290.3
1003.7,2168.4
386.6,1458.2
1092.6,2335.1
739.3,1767.1
